Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
Kroger organic Unsweetened Applesauce,fruits,1 cup,7,"June 7, 2022 4:08 PM (CDT)",Kroger,,,Staple,https://www.notion.so/Applesauce-f0f82050844a41d293f959af0600d1fd,0,0,1,11,,0,,0,Kroger,,0.18,N/A,,,,14,1.16,packs,0,0,,,0,https://www.notion.so/1-applesauce-cup-334aed6b21914b419a03a1df0131f9ff,,$0.44,,,,,,,,,,,,"June 3, 2022 3:35 AM","October 26, 2022 10:52 PM",
Thins stackers puffed grain cakes - brown rice - lightly salted,,28g servings (4 cakes),6,"December 13, 2022 3:48 PM (CST)",Thrive Market,"organic brown rice, sea salt",,"100% reyccled paperboard, Thrive Values: Non-GMO, Thrive Values: Organic, Thrive Values: gluten-free, made in USA, puffed grains",,1,0,2,0,70,2,0,0,Lundberg Family Farms,,N/A,1.31,,,,24,1,boxes (6 servings per box),,,,,0,https://www.notion.so/1-5-serving-rice-cake-b25eadb1da1f4dc78d06e4c0919c007e,,,,Pantry,,,,,,,,,,"December 2, 2022 10:51 PM","December 13, 2022 4:48 PM",2
[Update] TastyBite (tasty bite) organic brown rice,grains,140g serving - packet containing about 2 cups (140 g per cup),6,"August 30, 2022 4:17 AM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Accomodation Food, Staple, Stellar FS Ratio (+3), Stellar PS Ratio (+3), edit week 45-46",https://www.notion.so/brown-rice-packets-9aee336c317f42deae0952498d41e774,3.5,0.5,2,0.56,2,5,4,0,,"https://www.notion.so/Rice-and-scrappy-tomato-stew-9e50594694894c90839f0527d200ab5d, https://www.notion.so/FINISH-Good-rice-lunch-8aa2740691cb4aee832cdced236f90e5",7.14,115,,"https://www.notion.so/Sun-Fork-meal-1-dfd1af01a93447a5962551e365b80116, https://www.notion.so/Sun-Fork-meal-2-b82db5961ab54684b4dfb1d7d03bf0f1, https://www.notion.so/Sun-Fork-meal-3-8cc692c6bf7d49049e304c3c05a65f69",,46,3,Packet,0,0,0,0,,"https://www.notion.so/brown-rice-4ac8927adb1b441eaf184e2117df7685, https://www.notion.so/brown-rice-d970cd276d2d45189a304b9a71dfb2ef, https://www.notion.so/brown-rice-338968aead734fa58f9fbc8cafb0ccea, https://www.notion.so/7534d56ac4c14231a9dbdd878d1f98ad, https://www.notion.so/brown-rice-0c072166a06c456895c7dc3c42a95ba0, https://www.notion.so/1-packet-Brown-rice-c890695f1bf641df9fe069d9546b9c64, https://www.notion.so/1-serving-brown-rice-221f8141c1704ca684076dd78e59e5b4, https://www.notion.so/1-5-serving-brown-rice-ac6a717c1ffe44efac865b2d51bba0a2, https://www.notion.so/2-servings-brown-rice-1-packet-orig-packets-brown-rice-949ea05f2933465b8a3601048a3f0a86, https://www.notion.so/1-serving-brown-rice-a54ecdcac92d408e8c65f0d9770259d1, https://www.notion.so/1-serving-brown-rice-054bbb8e4ca343e2ac0d1e7db5f27717, https://www.notion.so/1-Packet-of-rice-2-servings-b05017400b6848e1b8476e9912bd3647, https://www.notion.so/brown-rice-5-oz-packet-b8f4c43707194a13a0ddad914cf43ae8, https://www.notion.so/2-serving-white-rice-2-serving-brown-rice-4676f9ccfc064d748ac344cd2e81f1e3, https://www.notion.so/1-packet-kroger-brown-rice-tasty-bite-as-filler-99dfc9cdc1f6426ea1540d59b9ca1ce1, https://www.notion.so/1-serving-Kroger-brown-rice-tastybite-as-placeholder-0c8814e7e6494e82828a59d59bfd4911, https://www.notion.so/1-serving-brown-rice-minute-brown-rice-b167eeab567e433782978809fd92a5c6, https://www.notion.so/1-serving-brown-rice-placeholder-for-kroger-self-cooked-brown-rice-1ba492aa71314fd1b03932293583de1b, https://www.notion.so/1-serving-tasty-bite-brown-rice-796371503ca14fe8b747a29551f6b30f, https://www.notion.so/1-packet-2-servings-brown-rice-2466ae714fb747769f7f05f5195f244d, https://www.notion.so/1-serving-brown-rice-39f9de3d3268499a9b4e0e20b45c0bc7, https://www.notion.so/2-serving-brown-rice-8963b941346348b6a73f71042c8d7b8a, https://www.notion.so/brown-rice-aef7bf2adc3e45c49642b84e09208735, https://www.notion.so/1-packet-of-brown-rice-aaf16f06789f4e3e8b2fa888c32c39a6, https://www.notion.so/1-packet-brown-rice-ee1a00c71a97480f8c08366d4c93e1b7, https://www.notion.so/TastyBite-rice-09cf7ffdf444485f9c05333411e6d666",,,,Pantry,,,,,,,,,,"August 28, 2021 4:51 PM","November 12, 2022 12:40 AM",2.77
"[UPDATE] TastyBite Indian Vindaloo [only 1/2 serving at time if any] ",vegetables,2/3 cup (140g) - 2 servings a pouch,6,"December 8, 2021 12:31 AM (CST)","CVS, Munchie (Vanderbilt Campus Dining)",,,"Poor FS Ratio (<0.8), Poor PS Ratio (<0.8), TastyBite (Tasty Bite) stew, maybe use as broth",https://www.notion.so/packaged-stew-e4d87a5c54084034b517766b6715b491,6,2,3,8,470,3,10,4,,,0.75,0.29,,,,19,3,Packet,0,0,,,2,,,,,Pantry,,,,,,,,,,"August 26, 2021 5:50 PM","October 31, 2022 2:42 AM",8.51
Food for life BROWN RICE TORTILLAS,grains,tortillas,5,"December 1, 2022 5:05 PM (CST)",GoPuff,,,"Cooks in 30-60 seconds, Overcooks past 90 seconds (or 2 minutes), Staple",,2.5,0,2,0,160,2,,,Food For Life,,N/A,0.58,,,,24,0.84,packet,0,0,6,10,0,"https://www.notion.so/tortilla-wrap-26ade3ae5f094f7e83ea9617734bd6f7, https://www.notion.so/0-5-chips-from-the-brown-rice-tortilla-yes-you-brought-this-along-and-ate-it-398d397ef3cf445698c2caefa9de3da5",,,,,,,,,,,,,,"October 28, 2021 12:26 AM","December 1, 2022 6:05 PM",
[watered down] Thrive Market Organic Sunflower Seeds,"protein, vegetables",16 oz pouch (bag),4.07,"September 2, 2022 5:22 PM (CDT)",Thrive Market,"Sprouted organic sunflower seeds, sea salt",,"Accomodation Food, Causes constipation with one or more servings, Stellar FS Ratio (+3), Stellar PS Ratio (+3), Thrive Values: Keto, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/Sunflower-seeds-c57ed7734f5446ec86132fbfadd4cc3e,14,1,2,0.5,47,6,8,2,Thrive Market,,8,5.87,,,,6,0.254,16 oz pouch (bag),0,0,8.5,,0,"https://www.notion.so/125g-sunflower-seeds-9b943e4dde1a42f5b7a1f9f4c2ec43a2, https://www.notion.so/53g-sunflower-seeds-7dfa1f926b414c3f9df61ab7966042be, https://www.notion.so/1-serving-sunflower-seeds-7c5600453c81495197883489b7d94574, https://www.notion.so/1-5-serving-sunflower-seeds-eef7d51db438447fa26ffa8c4e24874b, https://www.notion.so/1-serving-sunflower-seeds-e2e1102036ea4ecfbf69c61a4175767d, https://www.notion.so/0-3-serving-sunflower-seeds-04f6e73738b34d889ed9a86f7e97ec75, https://www.notion.so/125g-sunflower-seeds-5d1d3645d93d455aa8438a8999a5253a","Retail
$15.49 per bag →
$0.968125 per serving → $0.1613541667 per gram of protein

Regular
$10.29 per bag →
$0.643125 per serving → $0.1071875 per gram of protein

30% extra off
$7.20 per bag →
$0.45 per serving → $0.075 per gram of protein
","Thrive: $0.643 per serving (10.29/16)
____________________________","

potassium - 180 mg (4%)",Pantry,,,,,9.45,18.9,10.395,,,"September 2, 2022 7:22 AM","October 26, 2022 2:23 AM",4
Siete grain free tortilla chips dairy free nacho,"grains, vegetables",(1 oz - 28 g) servings,4,"December 17, 2022 10:49 PM (CST)","Amazon, CVS, Kroger, Publix, Thrive Market","Cassava Flour, Avodcado Oil, Coconut Flour, Nutritional Yeast, Tomato Powder, Chia Seed, Sea Salt, Citric Acid, Garlic Powder, Jalapeno Powder, Onion Powder, Serrano Powder.",,"Friends like: David likes, Poor PS Ratio (<0.8), Stellar FS Ratio (+3), Thrive Values: Dairy Free, Thrive Values: Family-Owned Business, Thrive Values: Made in USA, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Soy Free, Thrive Values: Woman-Founded, Thrive Values: gluten-free, Thrive values: plant-based, Thrive values: vegan, Thrive values: vegetarian, Thrives Values: BIPOC founded, avocado oil, flour: cassava flour, has spices, low sugar, nutritional yeast",,7,1,3,1,140,1,4,0,SieteFoods,,6,0.33,,,,20,1,bag,0,0,,,0,,,"$3.99 at CVS (4 oz bag)
$5.49 at Kroger (5 oz bag)




",,Pantry,"low sodium protein (eg. hard boiled eggs, maybe fish or chicken)",,,,,,,,,"December 17, 2022 11:44 PM","December 21, 2022 2:10 PM",
"[Update] TastyBite (tasty bite) organic jasmine rice  ",grains,140g serving - packet containing about 2 cups (140 g per cup),4,"October 9, 2022",Munchie (Vanderbilt Campus Dining),,,"Accomodation Food, Staple, Stellar FS Ratio (+3), Stellar PS Ratio (+3)",https://www.notion.so/white-rice-packets-50469ab634a84f94b03849ff4238fad6,2.5,0,1,0,5,5,0,0,,,N/A,46,,,,51,2,Packet,0,0,,,0,https://www.notion.so/1-serving-white-rice-6a069982f1d9433683b65ac5f82315d2,,,Potassium - 50mg - 0% (50/4700) actually 1.06%,Pantry,,,,,,,,,,"October 9, 2022 9:35 PM","November 6, 2022 4:22 AM",1.06
Campbell's healthy request Chicken Noodle soup,,,4,"August 5, 2022 9:42 PM (CDT)",Home,"Chicken Stock, Rice, Chicken Meat, Carrots, Contains Less Than 2% Of: Chicken Fat, Celery, Seasoning (Potassium Salt, Salt, Natural Flavoring), Salt, Water, Cornstarch, Sugar, Natural Flavoring, Onions, Vegetable Oil, Dried Chicken, Yeast Extract, Modified Cornstarch, Dried Chicken Broth, Beta Carotene For Color, Soy Protein Isolate, Sodium Phosphate, Soy Lecithin. Contains: Soy May Contain Traces Of Wheat","The natural flavor and cornstarch and soy protein isolates and sodium phosphate are issues ","Opening ease: Easy open tab for lid, soup",,2,0.5,0,0,410,3,2,0,,,N/A,0.34,,,,8,,,0,0,,,0,,,,,Pantry,3 hard boiled eggs (18g protein) and bread (4g fiber and some protein). Would make total rpotein 20g to the 17% DV SODIUM and total fiber 4g.,,,,,,,,,"August 6, 2022 9:22 AM","October 26, 2022 2:23 AM",
[UPDATE] Titus Sardines (soybean oil),protein,1 can (4.4 oz),4,"August 5, 2022 9:14 PM (CDT)","Amazon, Kroger, Walmart","Sardines, soybean oil, salt",,"Accomodation Food, Staple, Stellar PS Ratio (+3), fish, low sodium protein",https://www.notion.so/Sardines-a55975d56aaf4f088dbdbaf7e91b9d70,14,3.5,0,0,270,21,15,30,,,N/A,3.58,,,,0,,packs,0,30.2,,15.1,0,"https://www.notion.so/sardines-c926c870ef1d4b00acee6f1ee340126f, https://www.notion.so/1-sardines-2c141c010bf541e4bcca144a2b29e9d8, https://www.notion.so/1-sardines-38581c3237f74ed9ab41e340471d8a98, https://www.notion.so/1-sardines-18161a3cee214941a95d4046c028d757, https://www.notion.so/1-serving-Oscar-sardines-1e6a6afc4fc3419296fd3f6d81e3c8a9, https://www.notion.so/1-sardine-titus-074b801382844351b5b5db451d155ac8","(x sale, $y regular, $z retail) per can → 
(x sale, $y regular, $z retail) per gram of protein",,"Vitamin D (30.2%), vitamin B12 (464.9), Choline (x), iron (15%), lutein and zeaxanthin (x) (up to 6 mg recommended), Vitamin B2 (x), Vitamin B5 (x), Vitamin A (x), vitamin E (x), phosphorus (x), folate (3.125%), iodine (x), selenium (x), zinc (x), potassium(8%), calcium (30%)",,,,464.9,36.63,,,,,,"January 21, 2022 6:24 PM","December 13, 2022 11:44 PM",6
"[Update] TastyBite (tasty bite) organic sticky white rice  ",grains,140g serving - packet containing about 2 cups (140 g per cup),4,"September 27, 2022 4:38 PM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Accomodation Food, Staple, Stellar FS Ratio (+3), Stellar PS Ratio (+3)",https://www.notion.so/white-rice-packets-50469ab634a84f94b03849ff4238fad6,0,0,1,0,5,3,0,0,,https://www.notion.so/Rice-and-scrappy-tomato-stew-9e50594694894c90839f0527d200ab5d,N/A,27.6,,"https://www.notion.so/Sun-Fork-meal-1-dfd1af01a93447a5962551e365b80116, https://www.notion.so/Sun-Fork-meal-2-b82db5961ab54684b4dfb1d7d03bf0f1, https://www.notion.so/Sun-Fork-meal-3-8cc692c6bf7d49049e304c3c05a65f69",,44,2,Packet,0,0,,,0,"https://www.notion.so/1-serving-white-rice-1dfc799c7e384be59582e648873d0f4a, https://www.notion.so/rice-5-oz-packet-ee913bb19274436589a8d3652f5154f2, https://www.notion.so/white-rice-49b5a80e698c4e2d9769e60153c369b4, https://www.notion.so/2-serving-white-rice-2-serving-brown-rice-4676f9ccfc064d748ac344cd2e81f1e3, https://www.notion.so/181g-white-rice-208g-saved-of-original-389g-white-rice-7059c7067a7a4504a2141d0e4925a616, https://www.notion.so/1-packet-white-basmati-rice-sticky-white-rice-used-as-placeholder-7c62eb1883444214abf43eae92b8d027, https://www.notion.so/2-servings-1-packet-white-rice-be5ba6e336544c4d9de0670bfc446ab6, https://www.notion.so/1-serving-white-rice-tastybite-as-placeholder-865778d112a54fa180f3be7f73beb4a8, https://www.notion.so/200-grams-rice-spinach-rice-from-BCC-maybe-from-wild-cow-or-nashville-chutney-but-I-dont-know-55db6b952aad4a358f1d8f3af4dd8a24",,,,Pantry,,,,,,,,,,"December 8, 2021 1:32 AM","November 6, 2022 4:22 AM",
[Update] TastyBite Indian vegetable korma,vegetables,2/3 cup (2 servings a pouch),4,"September 27, 2022 4:38 PM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Ok FS Ratio (1 <= x < 1.5), Poor PS Ratio (<0.8), TastyBite (Tasty Bite) stew, maybe use as broth",https://www.notion.so/packaged-stew-e4d87a5c54084034b517766b6715b491,6,2.5,2,3,470,3,12.5,2.57,,,1.33,0.29,,https://www.notion.so/Korma-Kale-PB-Pasta-Lunch-Dinner-129981856c844db692e3861008313cb7,,13,2,Packet,0,0,,,,https://www.notion.so/1-serving-vegetable-korma-5e0b867735804924bf1c72ceee3f35c6,,,,Pantry,,,,,,,,,,"September 25, 2021 12:42 PM","October 26, 2022 2:23 AM",5
"[Cooking] Woodstock frozen blackberries ",fruits,servings (153g = 1 1/4 cup),3.67,"November 19, 2022 8:18 AM (CST)",Munchie (Vanderbilt Campus Dining),,pair with woodstock pineapple or mango to balance out fiber,"Fiber: insoluble fiber, Ok FS Ratio (1 <= x < 1.5), in Tolman freezer, organic",https://www.notion.so/Blackberries-b2982c1df83349438bb0ce6f9d0bea29,0.5,0,8,16,0,2,6,4,,,1,N/A,,,,24,2,bags (1.84 servings per bag),33.6,0,,7.65,0,"https://www.notion.so/100g-blackberries-1807bb81a7454c0cae309a318d3f7ea3, https://www.notion.so/2-3-of-a-serving-of-blackberries-8afae9abd4c44710afab4fbfa4050868, https://www.notion.so/280g-blackberry-1-84-servings-5831bad2bca34ed08986f1932409ede1",,"Munchie
- Meal Swipe - free (entree+side)
- Meal Money - $8.99",,freezer,,,,,,,,,,"September 19, 2022 12:25 AM","December 19, 2022 3:52 AM",4
earthbound farm organic organic broccoli,vegetables,serving (3/4 cup = 85g),3.5,"December 13, 2022 4:02 PM (CST)",Munchie (Vanderbilt Campus Dining),,,"Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), non-gmo, organic",https://www.notion.so/frozen-mixed-veggies-eb7782a2d0684e2e8096a5ec457e5605,0,0,2,2,35,2,2,2,,,2,2.63,,,,6,1,bag (3.5 servings per bag),50,,,,0,,,,,freezer,,,,,,,,,,"December 13, 2022 5:01 PM","December 13, 2022 5:02 PM",6
earthbound farm organic organic California style blend veggies,vegetables,serving (3/4 cup = 85g),3.5,"December 13, 2022 3:57 PM (CST)",Munchie (Vanderbilt Campus Dining),,,"Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), non-gmo, organic",https://www.notion.so/frozen-mixed-veggies-eb7782a2d0684e2e8096a5ec457e5605,0,0,2,2,35,2,2,2,,,2,2.63,,,,6,1,bag (3.5 servings per bag),50,,,,0,https://www.notion.so/120-broccoli-and-carrots-Earthbound-768574b9171f4a35adad692c8744c573,,,,freezer,,,,,,,,,,"December 13, 2022 4:57 PM","December 13, 2022 5:01 PM",6
Seapoint Farms Might Lil’ Lentils - Pink Himalayan Salt,"protein, vegetables",servings (1/4 cup = 30g),3.36,"December 20, 2022 3:15 AM (CST)",CVS,,"5g insoluble fiber, x g soluble fiber","Good PS Ratio (1.5 <= x < 3), Stellar FS Ratio (+3)",https://www.notion.so/Chickpeas-garbanzo-beans-1d810036c36c49179100154ea020df54,8,0.5,5,0,120,5,6,0,Seapoint Farms,,N/A,1.92,,,,15,3.36,bags (4.5 servings per bag) (1/4 cup = 30g),,0,,,0,,,,,Pantry,,,,,,,,,,"December 20, 2022 4:10 AM","December 20, 2022 4:15 AM",4
Love Beets - Organic Cooked Beets - Ready to eat,vegetables,half-cups (95g),3,"December 13, 2022 3:47 PM (CST)",Thrive Market,,,"Ok PS Ratio (1 <= x < 1.5), Poor FS Ratio (<0.8), Strength: Magnesium, Thrive Values: Non-GMO, Thrive Values: Organic, strength: Vitamin B9 (Folate)",,0,0,2,7,40,1,0,2,,,0.57,1.15,,,,10,,bags,,,10,,0,https://www.notion.so/1-serving-beets-bae6b2b434444540a1bb9c5eea83c5f5,,,,pantry (pre-open) - fridge (once opened),,,,,,,,,,"December 2, 2022 7:51 PM","December 13, 2022 4:47 PM",5.53
[Backup] Horizon Organic Organic lowfat milk (by Danone) (carton),dairy,carton,3,"October 18, 2022 3:32 AM (CDT)","Munchie (Vanderbilt Campus Dining), Panera, Starbucks",,,"Staple, Staple: Always Keep Replenished, cooking ingredient, get in quarantine, organic, portable",https://www.notion.so/Milk-2-796e59ae1fa54bf4b897ed5f1c31e320,2.5,1.5,0,12,130,8,0,25,,,0,2.83,,,,13,3,carton,0,15,9.75,,0,,,,,pantry/fridge,,,,30,,,,,,"October 18, 2022 4:31 AM","December 3, 2022 9:09 PM",8
Justin’s Organic Dark Chocolate Peanut Butter Cups,protein,1.4 oz pack,3,,"GrubHub, GrubHub - light speed market, Thrive Market",,"PDCAAS - 0.70

because of the good PS ratio but poor FS ratio, pair with a high fiber grain - dunk 1 PB cup in 1 cup of oatmeal for flavor and a little more protein","Good PS Ratio (1.5 <= x < 3), PDCAAS score, Poor FS Ratio (<0.8), Thrive Values: Non-GMO, Thrive Values: Organic, Thrive values: plant-based, Thrive values: vegan, Thrive values: vegetarian, snacks",,,,1,17,120,4,,,Justin's,,0.12,1.53,,,,,3,1.4 oz pack,0,0,,,,,,,,,,,,,,,,,,"January 29, 2022 12:39 AM","April 1, 2022 3:28 PM",
Brads Crunchy Kale Chips Original 2 oz,,1/2 bag,3,"October 15, 2022 1:08 AM (CDT)","CVS, Kroger",,,"Hot water cook-able, Ok PS Ratio (1 <= x < 1.5), Staple, Stellar FS Ratio (+3), should/must hydrate with liquid, snacks","https://www.notion.so/spinach-snack-980cc3ecd70c470daeb6ff1e2e8725c7, https://www.notion.so/Veggie-chip-dehydrated-snack-c746fc1c4e384d229b53fc62845a50df",5,0,2,1,210,3,6,4,,,4,0.66,,,,6,1.5,1 bag,30,0,,,0,"https://www.notion.so/kale-chips-9551f5af04ab4fe8b70ccaa3acafa0b7, https://www.notion.so/1-serving-kale-chips-fb3484c4d17c4298ac197e8e2fca9f57, https://www.notion.so/1-serving-kale-chips-1-serving-spinach-or-kale-1-serving-mixed-veggies-9def471775f84287ac9902e2d9b7f8d2, https://www.notion.so/1-serving-kale-chips-4c8b191464e34108bd7815bdf0b2d246",,,,,,,,,,,,,,"December 11, 2021 9:06 PM","October 15, 2022 2:08 AM",
Alkaline water pH 9+ body armor sport water,,,3,"September 10, 2021 5:55 AM (CDT)",Sun & Fork (owned by FirstWatch) (TON),"Reverse osmosis water, potassium bicarbonate, calcium chloride, magnesium Chloride",,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/Bottled-water-ice-pack-or-drink-95451ae9280b4ebbab4800201dc61842,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 27, 2021 3:04 AM","April 1, 2022 3:28 PM",
Horizon Organic Organic lowfat milk (by Danone) (carton),dairy,carton,3,"December 3, 2022 8:10 PM (CST)","Munchie (Vanderbilt Campus Dining), Panera, Starbucks",,,"100% reyccled paperboard, Good PS Ratio (1.5 <= x < 3), Staple, breakfast, get in quarantine, made in USA, medium sodium, non-gmo, omega-3, organic",https://www.notion.so/Milk-2-796e59ae1fa54bf4b897ed5f1c31e320,2.5,1.5,0,12,130,8,0,25,,,0,2.83,,"https://www.notion.so/Cereal-banana-protein-bar-v1-bcc4ae0c091147808ebaa4cc5520ecbc, https://www.notion.so/Cereal-banana-protein-bar-egg-v1-efda7e1acec3480a9f48d65a609c584a",,13,3,carton,0,15,9.75,,0,"https://www.notion.so/milk-horizon-used-as-placeholder-3010c6f8808b4facbf5de3c7c269e8af, https://www.notion.so/milk-0c98bcc7451d4de58a049a2f089b5ef5, https://www.notion.so/milk-4be4733cacd24f8f847a620316f20e31, https://www.notion.so/milk-9e909affcc5c4ffa860a81ea29ee2183, https://www.notion.so/1-milk-082c0b96a9de4908b3988ce9bd0affdd, https://www.notion.so/1-milk-71ff97d38e174fdbac887bbe346c64e1, https://www.notion.so/1-milk-6249400d9abf4492854b625e5dc17ff4, https://www.notion.so/1-milk-c8672c50259043df92554b591b3afee1, https://www.notion.so/1-milk-4b019c10962f4eb4b9ada798b3d8a4df, https://www.notion.so/milk-to-get-the-same-calcium-as-1-carton-of-milk-I-would-eat-6-oz-of-yogurt-which-has-18-g-of-pr-a880d82429364c969b026400617804fc, https://www.notion.so/1-milk-b6fa87703ea94b0f9625efc45a6715a2, https://www.notion.so/1-milk-bd29aa7ed892486994070a18e983a65c, https://www.notion.so/1-cup-milk-a22d2fc8e67b434f8f943ea8f182fa8e, https://www.notion.so/Milk-e4526e4bfd7342b79bb68079da0dda58, https://www.notion.so/Milk-5708e47812e54b96b4e986494c6231d4, https://www.notion.so/milk-1e8ea6f18b2a442584da90ed05db8fb4, https://www.notion.so/1-milk-91d8743ec1494217a7245298a5d6d374, https://www.notion.so/Milk-91b40ab97dc14f09ad772f658d48d84e, https://www.notion.so/milk-33005d7e214a46e39be3b4a28b002b9c, https://www.notion.so/Milk-65d4e6abb76f47b3aa177af257523a80, https://www.notion.so/1-milK-4bf678b5becc4d9e96f8b3791890e056, https://www.notion.so/1-milk-6c9840e33c48480681257757cd8d4975, https://www.notion.so/1-milk-67a8cf5e8364456b817ab06c78bd618e, https://www.notion.so/1-milk-5e3192f9f49749c093c377cc2bba9e06, https://www.notion.so/1-milk-21232724e61c4939a9b6da8af175f27f, https://www.notion.so/milk-horizon-d3850723b435430db1a630365f5567ec, https://www.notion.so/milk-dd69fe53e3bc40a49f9caf7d9f64d1cc, https://www.notion.so/milk-a2487af76cfa495d80d3b7074ca6bcae, https://www.notion.so/1-milk-b566309f3890452494e363b7dc54bebf, https://www.notion.so/100g-milk-330f63a535674172b9f17dcaf26f9b8d",,,,,,,,30,,,,,,"August 26, 2021 5:50 PM","December 3, 2022 11:31 PM",8
frozen kenkey - 1/2 ball,,1/2 ball,2,,Home,,,in Tolman fridge,,0.075,,0,,321.5,0.225,,,,,N/A,0.03,,,,33,2,1/2 BALL,0,0,,,,"https://www.notion.so/kenkey-2052a2110cbd494e82180fecbc2ad7af, https://www.notion.so/kenkey-white-flour-0027a1bf24fa4e8c963ce0621d1f60c0, https://www.notion.so/a-ball-of-kenkey-b7cc1d10bc8e4d67a9dc9f1cb357471f",,,,,,,,,,,,,,"December 19, 2022 3:40 AM","December 19, 2022 3:40 AM",
TastyBite Indiana Channa masala,"protein, vegetables",2/3 cup (2 servings a pouch),2,"June 8, 2022 4:42 AM (CDT)",Munchie (Vanderbilt Campus Dining),"Water, Chickpeas*, Tomato Paste*, Sunflower Oil*, Dried Onion*,  Coriander Powder*, Salt, Cumin*, Jaggery (Brown Cane Sugar)*, Dried Garlic*, Spices*, Apple Cider Vinegar*, Chili Peppers*, Dried Ginger*, Turmeric*, Red Chili Pepper Powder*.*Organic",,"Conrad likes, Friends like, Poor PS Ratio (<0.8), Stellar FS Ratio (+3), Strength: Potassium, TastyBite (Tasty Bite) stew, maybe use as broth",https://www.notion.so/packaged-stew-e4d87a5c54084034b517766b6715b491,6,0.5,8,5,390,6,6,4,,,3.2,0.71,,,,22,1,1 pouch,0,0,,,0.5,https://www.notion.so/Channa-masala-f6dae9e076f243e6bcc37f2cae02c433,,,,,,,,,,,,,,"December 17, 2022 12:12 AM","December 22, 2022 2:20 AM",9.87
TastyBite Indian spinach dal,"protein, vegetables",2/3 cup - 140g (2 servings a pouch),2,"December 3, 2022 1:18 AM (CST)",Munchie (Vanderbilt Campus Dining),," assume this is pure spinach

- broccoli
- carrots","Good FS Ratio (1.5 <= x < 3), Poor PS Ratio (<0.8), Strength: Magnesium, TastyBite (Tasty Bite) stew, maybe use as broth",https://www.notion.so/packaged-stew-e4d87a5c54084034b517766b6715b491,4,0.5,4,4,460,4,20,15,TastyBite,,2,0.4,,,,12,1,1 pouch,0,0,26,,0,,,,,Pantry,,,,,,,,,,"December 3, 2022 2:17 AM","December 3, 2022 2:23 AM",4
[Cooking] Woodstock frozen blueberries,fruits,servings (140g serving),2,"November 19, 2022 8:18 AM (CST)",Munchie (Vanderbilt Campus Dining),,,"Fiber: insoluble fiber, Poor FS Ratio (<0.8), in Tolman freezer, organic",https://www.notion.so/blueberries-429f80f77c9e4b04accaff2b18f5212e,0,0,5,15,5,0,2,2,,,0.67,N/A,,,,20,1,bags (2 servings per bag)(yes a full 2*140g = 280g),16,0,,1.4,0,"https://www.notion.so/96g-blueberries-75c5d51e1c114ae3bf0ac38c5658998d, https://www.notion.so/2-servings-1-full-bag-280g-of-frozen-blueberries-a2049aec507a4612af3e0793cc262edf, https://www.notion.so/183g-1-3-servings-of-frozen-blueberries-fe5cac4a6efc4690a6f56b41f6526aee",,"Munchie
- Meal Swipe - free (entree+side)
- Meal Money - $8.99",,freezer,,,,,,,,,,"November 19, 2022 8:30 AM","December 19, 2022 3:53 AM",2.43
TastyBite Indian Mushroom masala,"protein, vegetables",2/3 cup (2 servings a pouch),2,"June 8, 2022 4:42 AM (CDT)",Munchie (Vanderbilt Campus Dining),"Water, Mushrooms, Potatoes, Onions, Concentrated Crushed Tomatoes, Sunflower Oil, Garlic, Chickpea Flour, Sugar, Salt, Coriander, Spices, Chili Pepper Powder, Dried Fenugreek Leaves, Turmeric.","mushroom, potatoes, onion, and tomatoes seem to be main veggies. I could add to this

- broccoli
- carrots","Mediocre FS Ratio (0.8 <= x < 1), Poor PS Ratio (<0.8), TastyBite (Tasty Bite) stew, maybe use as broth",https://www.notion.so/packaged-stew-e4d87a5c54084034b517766b6715b491,9,1,5,11,910,6,6,2,,,0.91,0.3,,,,26,1,1 pouch,0,0,,,,,,,,,,,,,,,,,,"November 4, 2022 9:04 PM","November 4, 2022 9:04 PM",4
